Objectid ;Straat ;Type_en_merk ;Aantal ;geo_shape;geo_point_2d
734;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.39792657401684, 51.4549311434801], ""type"": ""Point""}";51.4549311434801,5.39792657401684
686;Freddy van Riemsdijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397403390339265, 51.4569260013654], ""type"": ""Point""}";51.4569260013654,5.397403390339265
687;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397803599121943, 51.45676930118427], ""type"": ""Point""}";51.45676930118427,5.397803599121943
689;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397712236767271, 51.45671120696163], ""type"": ""Point""}";51.45671120696163,5.397712236767271
691;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397604267944678, 51.45663963119513], ""type"": ""Point""}";51.45663963119513,5.397604267944678
692;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397534519739944, 51.45659501784387], ""type"": ""Point""}";51.45659501784387,5.397534519739944
693;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.3974547860275655, 51.45654833796206], ""type"": ""Point""}";51.45654833796206,5.3974547860275655
695;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397248838407536, 51.45641866796115], ""type"": ""Point""}";51.45641866796115,5.397248838407536
696;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397187379627012, 51.456380282810244], ""type"": ""Point""}";51.456380282810244,5.397187379627012
697;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.397129244084656, 51.45633982994233], ""type"": ""Point""}";51.45633982994233,5.397129244084656
698;Beatrix de Rijkweg;Parkeerplaats Electrisch opladen;1.0;"{""coordinates"": [5.3968523263238275, 51.455881998252636], ""type"": ""Point""}";51.455881998252636,5.3968523263238275
699;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.3968753266641905, 51.455923973355794], ""type"": ""Point""}";51.455923973355794,5.3968753266641905
701;Beatrix de Rijkweg;Parkeerplaats;1.0;"{""coordinates"": [5.396939001670599, 51.4560366498028], ""type"": ""Point""}";51.4560366498028,5.396939001670599
737;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.397437918752369, 51.45408062711227], ""type"": ""Point""}";51.45408062711227,5.397437918752369
740;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.39753212012219, 51.454248526855146], ""type"": ""Point""}";51.454248526855146,5.39753212012219
744;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.397118044452236, 51.453520553764754], ""type"": ""Point""}";51.453520553764754,5.397118044452236
747;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.39720242702805, 51.45366761891136], ""type"": ""Point""}";51.45366761891136,5.39720242702805
753;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.3961782011576975, 51.45239920614968], ""type"": ""Point""}";51.45239920614968,5.3961782011576975
760;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.396545080978006, 51.45272151002112], ""type"": ""Point""}";51.45272151002112,5.396545080978006
763;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.395976120896129, 51.4522141543608], ""type"": ""Point""}";51.4522141543608,5.395976120896129
830;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.38916264419162, 51.45388989242036], ""type"": ""Point""}";51.45388989242036,5.38916264419162
834;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.38943334475055, 51.453771164501006], ""type"": ""Point""}";51.453771164501006,5.38943334475055
837;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.389662394804308, 51.45367358728808], ""type"": ""Point""}";51.45367358728808,5.389662394804308
841;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.38995911794764, 51.45354185092618], ""type"": ""Point""}";51.45354185092618,5.38995911794764
842;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.3900163906761405, 51.45351582721095], ""type"": ""Point""}";51.45351582721095,5.3900163906761405
855;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.389368278617961, 51.453904521781986], ""type"": ""Point""}";51.453904521781986,5.389368278617961
856;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.389152280896632, 51.45481035018758], ""type"": ""Point""}";51.45481035018758,5.389152280896632
861;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.389430802303731, 51.45505591483784], ""type"": ""Point""}";51.45505591483784,5.389430802303731
862;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.3894750598297785, 51.455094942657176], ""type"": ""Point""}";51.455094942657176,5.3894750598297785
864;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.389558352224345, 51.45516811751839], ""type"": ""Point""}";51.45516811751839,5.389558352224345
769;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.39550918972804, 51.451801160445726], ""type"": ""Point""}";51.451801160445726,5.39550918972804
771;Adriaan Mulderweg;Parkeerplaats;1.0;"{""coordinates"": [5.395624932380405, 51.45190287660737], ""type"": ""Point""}";51.45190287660737,5.395624932380405
775;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.394832651598459, 51.45151374178874], ""type"": ""Point""}";51.45151374178874,5.394832651598459
783;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.394501703569977, 51.45165672858428], ""type"": ""Point""}";51.45165672858428,5.394501703569977
785;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.394197307393482, 51.45168355222223], ""type"": ""Point""}";51.45168355222223,5.394197307393482
788;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.39253440359519, 51.45241250850109], ""type"": ""Point""}";51.45241250850109,5.39253440359519
791;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.392775452330992, 51.45230910895165], ""type"": ""Point""}";51.45230910895165,5.392775452330992
795;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.393122752404323, 51.45215719144442], ""type"": ""Point""}";51.45215719144442,5.393122752404323
800;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.393798946151479, 51.451858450993456], ""type"": ""Point""}";51.451858450993456,5.393798946151479
804;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.392066574247375, 51.45261804706186], ""type"": ""Point""}";51.45261804706186,5.392066574247375
805;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.392154415020967, 51.45258102780395], ""type"": ""Point""}";51.45258102780395,5.392154415020967
809;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.3918295935690015, 51.45272017757301], ""type"": ""Point""}";51.45272017757301,5.3918295935690015
812;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.391439385844862, 51.45289506794459], ""type"": ""Point""}";51.45289506794459,5.391439385844862
817;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.390685316624418, 51.45322308240098], ""type"": ""Point""}";51.45322308240098,5.390685316624418
819;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.390849292017823, 51.453153145114086], ""type"": ""Point""}";51.453153145114086,5.390849292017823
822;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.391070524077445, 51.453057192354244], ""type"": ""Point""}";51.453057192354244,5.391070524077445
824;Jan Hilgersweg;Parkeerplaats;1.0;"{""coordinates"": [5.39049269757848, 51.453307653897454], ""type"": ""Point""}";51.453307653897454,5.39049269757848
868;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.388967455183409, 51.45464447675917], ""type"": ""Point""}";51.45464447675917,5.388967455183409
870;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.388871143656462, 51.45455503220473], ""type"": ""Point""}";51.45455503220473,5.388871143656462
875;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.38972590193256, 51.45531737936502], ""type"": ""Point""}";51.45531737936502,5.38972590193256
880;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.389979250116059, 51.45554326710901], ""type"": ""Point""}";51.45554326710901,5.389979250116059
881;Luchthavenweg;Parkeerplaats;1.0;"{""coordinates"": [5.390020717297565, 51.45558067683293], ""type"": ""Point""}";51.45558067683293,5.390020717297565
882;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.390465199098737, 51.455679943856296], ""type"": ""Point""}";51.455679943856296,5.390465199098737
884;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.390626392517773, 51.45561086987977], ""type"": ""Point""}";51.45561086987977,5.390626392517773
891;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.390495131060488, 51.45555908131966], ""type"": ""Point""}";51.45555908131966,5.390495131060488
896;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.390900443060853, 51.45538352839322], ""type"": ""Point""}";51.45538352839322,5.390900443060853
897;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.391135037004747, 51.45528324251341], ""type"": ""Point""}";51.45528324251341,5.391135037004747
898;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.391063203000318, 51.45531431893005], ""type"": ""Point""}";51.45531431893005,5.391063203000318
928;Henri Wijnmalenweg;Parkeerplaats;1.0;"{""coordinates"": [5.3930419970121735, 51.453937212624076], ""type"": ""Point""}";51.453937212624076,5.3930419970121735
929;Henri Wijnmalenweg;Parkeerplaats;1.0;"{""coordinates"": [5.393097551327797, 51.45398348334477], ""type"": ""Point""}";51.45398348334477,5.393097551327797
930;Henri Wijnmalenweg;Parkeerplaats;1.0;"{""coordinates"": [5.393142530615382, 51.45402479286092], ""type"": ""Point""}";51.45402479286092,5.393142530615382
932;Henri Wijnmalenweg;Parkeerplaats;1.0;"{""coordinates"": [5.393224531853422, 51.45409584385778], ""type"": ""Point""}";51.45409584385778,5.393224531853422
933;Henri Wijnmalenweg;Parkeerplaats;1.0;"{""coordinates"": [5.393261568594015, 51.45412889317286], ""type"": ""Point""}";51.45412889317286,5.393261568594015
936;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.393809916869039, 51.45421591721684], ""type"": ""Point""}";51.45421591721684,5.393809916869039
899;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.390999655661559, 51.45534020854971], ""type"": ""Point""}";51.45534020854971,5.390999655661559
901;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.391079785490908, 51.455410982457515], ""type"": ""Point""}";51.455410982457515,5.391079785490908
904;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.391687588514759, 51.455143402407316], ""type"": ""Point""}";51.455143402407316,5.391687588514759
908;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.392085425686005, 51.45497077602214], ""type"": ""Point""}";51.45497077602214,5.392085425686005
913;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.392773352103421, 51.4546859285013], ""type"": ""Point""}";51.4546859285013,5.392773352103421
916;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.392850708062203, 51.45464968227449], ""type"": ""Point""}";51.45464968227449,5.392850708062203
919;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.39298054579519, 51.45459098857041], ""type"": ""Point""}";51.45459098857041,5.39298054579519
920;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.393010944529427, 51.45457889722441], ""type"": ""Point""}";51.45457889722441,5.393010944529427
952;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.395293576052845, 51.45356621790991], ""type"": ""Point""}";51.45356621790991,5.395293576052845
955;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.3955507365227, 51.45345495537863], ""type"": ""Point""}";51.45345495537863,5.3955507365227
957;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.3957243717701076, 51.45337666905981], ""type"": ""Point""}";51.45337666905981,5.3957243717701076
959;Marinus van Meelweg;Parkeerplaats;1.0;"{""coordinates"": [5.3958672507223815, 51.45331622735517], ""type"": ""Point""}";51.45331622735517,5.3958672507223815
