pc4_code,shape_area
5611,195046.810964445
5612,682781.94602738
5613,304595.74320442
5614,32795.72430751
5615,293732.713769185
5616,325990.33370911
5617,66012.373467695
5621,248949.544494725
5622,235880.88052572001
5623,414627.953011615
5624,579118.52496195
5625,381793.917736505
5626,1324792.48916651
5627,583157.774628205
5628,583360.3626323
5629,1244830.20457326
5631,2259305.43358307
5632,826427.773427875
5633,1543165.548793805
5641,2213044.570069145
5642,500301.51837155
5643,231381.682683955
5644,3012601.890440315
5645,651387.399573505
5646,1107329.038902815
5647,1586600.81870789
5651,3903171.92493647
5652,802748.309294975
5653,458842.275609525
5654,476982.89483078
5655,580363.20223028
5656,1098867.207746265
5657,3615653.67637759
5658,1183449.056499455
