"date","PC4","tpm2.5_ugm3"
"X2021.05.20","5611",17.0880661010742
"X2021.05.21","5611",4.47400569915771
"X2021.05.22","5611",5.6802191734314
"X2021.05.23","5611",6.73751592636108
"X2021.05.24","5611",3.5663423538208
"X2021.05.25","5611",7.21228694915771
"X2021.05.26","5611",6.48637390136719
"X2021.05.27","5611",6.98673057556152
"X2021.05.28","5611",7.3647928237915
"X2021.05.29","5611",9.48682689666748
"X2021.05.30","5611",7.13913488388062
"X2021.05.31","5611",10.3272171020508
"X2021.06.01","5611",6.93976163864136
"X2021.06.02","5611",9.77920246124268
"X2021.06.03","5611",7.33598852157593
"X2021.06.04","5611",17.0877475738525
"X2021.06.05","5611",12.4563093185425
"X2021.06.06","5611",6.32273197174072
"X2021.06.07","5611",5.26108741760254
"X2021.06.08","5611",4.73536968231201
"X2021.06.09","5611",9.71700954437256
"X2021.06.10","5611",7.05670547485352
"X2021.06.11","5611",4.37736892700195
"X2021.06.12","5611",2.80416131019592
"X2021.06.13","5611",2.66450214385986
"X2021.06.14","5611",5.98115301132202
"X2021.06.15","5611",5.20394611358643
"X2021.06.16","5611",5.01643800735474
"X2021.06.17","5611",5.72651147842407
"X2021.06.18","5611",7.84596586227417
"X2021.06.19","5611",3.10034775733948
"X2021.06.20","5611",3.58671617507935
"X2021.06.21","5611",2.09749889373779
"X2021.06.22","5611",2.25887274742126
"X2021.06.23","5611",4.68724393844604
"X2021.06.24","5611",7.05955123901367
"X2021.06.25","5611",9.0906400680542
"X2021.06.26","5611",7.74853277206421
"X2021.06.27","5611",8.01708316802979
"X2021.06.28","5611",16.5941791534424
"X2021.06.29","5611",12.8558778762817
"X2021.06.30","5611",3.70778298377991
"X2021.07.01","5611",4.44718885421753
"X2021.07.02","5611",8.86920642852783
"X2021.07.03","5611",11.384033203125
"X2021.07.04","5611",10.8553657531738
"X2021.07.05","5611",3.41354370117188
"X2021.07.06","5611",2.53716015815735
"X2021.07.07","5611",2.76118445396423
"X2021.07.08","5611",7.7710075378418
"X2021.07.09","5611",8.17214107513428
"X2021.07.10","5611",11.9554214477539
"X2021.07.11","5611",9.8097095489502
"X2021.07.12","5611",7.16447973251343
"X2021.07.13","5611",15.2222309112549
"X2021.07.14","5611",7.19472455978394
"X2021.07.15","5611",3.20454525947571
"X2021.07.16","5611",3.07968425750732
"X2021.07.17","5611",2.70412635803223
"X2021.07.18","5611",4.50106191635132
"X2021.07.19","5611",2.46557354927063
"X2021.07.20","5611",2.3267560005188
"X2021.07.21","5611",6.84044647216797
"X2021.07.22","5611",5.53644037246704
"X2021.07.23","5611",2.62580633163452
"X2021.07.24","5611",6.968918800354
"X2021.07.25","5611",6.87424945831299
"X2021.07.26","5611",4.46038818359375
"X2021.07.27","5611",7.06597757339478
"X2021.07.28","5611",4.38810157775879
"X2021.07.29","5611",3.33609890937805
"X2021.07.30","5611",2.95923066139221
"X2021.07.31","5611",3.63450384140015
"X2021.08.01","5611",7.53527688980103
"X2021.08.02","5611",4.44187784194946
"X2021.08.03","5611",11.1512422561646
"X2021.08.04","5611",23.938289642334
"X2021.08.05","5611",14.5346240997314
"X2021.08.06","5611",3.09798526763916
"X2021.08.07","5611",3.18462181091309
"X2021.08.08","5611",3.34999012947083
"X2021.08.09","5611",2.99887013435364
"X2021.08.10","5611",3.48895168304443
"X2021.08.11","5611",9.65126514434814
"X2021.08.12","5611",7.22466516494751
"X2021.08.13","5611",4.67082929611206
"X2021.08.14","5611",4.21009397506714
"X2021.08.15","5611",4.43087005615234
"X2021.08.16","5611",3.71745777130127
"X2021.08.17","5611",7.81336355209351
"X2021.08.18","5611",7.02284145355225
"X2021.08.19","5611",8.48541641235352
"X2021.08.20","5611",6.48716449737549
"X2021.08.21","5611",6.58003520965576
"X2021.08.22","5611",8.61534976959229
"X2021.08.23","5611",7.67645359039307
"X2021.08.24","5611",3.27219200134277
"X2021.08.25","5611",3.91108155250549
"X2021.08.26","5611",3.02549171447754
"X2021.08.27","5611",2.78206944465637
"X2021.08.28","5611",3.83368325233459
"X2021.08.29","5611",4.59393501281738
"X2021.08.30","5611",7.59715127944946
"X2021.08.31","5611",5.99420595169067
"X2021.09.01","5611",4.24555110931396
"X2021.09.02","5611",8.37759971618652
"X2021.09.03","5611",15.6779890060425
"X2021.09.04","5611",11.3472156524658
"X2021.09.05","5611",13.9068899154663
"X2021.09.06","5611",16.5143165588379
"X2021.09.07","5611",21.5135669708252
"X2021.09.08","5611",17.5839881896973
"X2021.09.09","5611",13.9779024124146
"X2021.09.10","5611",6.57023429870605
"X2021.09.11","5611",11.0192852020264
"X2021.09.12","5611",8.42947292327881
"X2021.09.13","5611",10.8671627044678
"X2021.09.14","5611",10.8539600372314
"X2021.09.15","5611",7.8097825050354
"X2021.09.16","5611",8.89240837097168
"X2021.09.17","5611",21.5664558410645
"X2021.09.18","5611",24.015552520752
"X2021.09.19","5611",11.4189414978027
"X2021.09.20","5611",11.4774856567383
"X2021.09.21","5611",10.0685520172119
"X2021.09.22","5611",17.3402004241943
"X2021.09.23","5611",18.3761215209961
"X2021.09.24","5611",9.98142051696777
"X2021.09.25","5611",8.59055423736572
"X2021.09.26","5611",13.166202545166
"X2021.09.27","5611",7.67897844314575
"X2021.09.28","5611",6.30325889587402
"X2021.09.29","5611",6.16658687591553
"X2021.09.30","5611",7.4980731010437
"X2021.10.01","5611",3.94846987724304
"X2021.10.02","5611",6.79926586151123
"X2021.10.03","5611",3.39210772514343
"X2021.10.04","5611",3.48230051994324
"X2021.10.05","5611",3.95660257339478
"X2021.10.06","5611",5.79483890533447
"X2021.10.07","5611",15.6481494903564
"X2021.10.08","5611",21.5782985687256
"X2021.10.09","5611",21.9831447601318
"X2021.10.10","5611",30.4907321929932
"X2021.10.11","5611",5.19789028167725
"X2021.10.12","5611",6.54010391235352
"X2021.10.13","5611",7.05877780914307
"X2021.10.14","5611",16.2261505126953
"X2021.10.15","5611",10.8914966583252
"X2021.10.16","5611",14.1596155166626
"X2021.10.17","5611",21.0418605804443
"X2021.10.18","5611",19.8091850280762
"X2021.10.19","5611",8.48242473602295
"X2021.10.20","5611",4.93088626861572
"X2021.10.21","5611",4.04402542114258
"X2021.10.22","5611",8.80220222473145
"X2021.10.23","5611",15.9380054473877
"X2021.10.24","5611",15.4075736999512
"X2021.10.25","5611",15.7797336578369
"X2021.10.26","5611",13.6874828338623
"X2021.10.27","5611",9.38854026794434
"X2021.10.28","5611",12.1495084762573
"X2021.10.29","5611",6.83755445480347
"X2021.10.30","5611",7.18667602539062
"X2021.10.31","5611",8.3621129989624
"X2021.11.01","5611",6.710862159729
"X2021.11.02","5611",13.1115980148315
"X2021.11.03","5611",17.8953723907471
"X2021.11.04","5611",19.5026016235352
"X2021.11.05","5611",11.6951007843018
"X2021.11.06","5611",16.9740257263184
"X2021.11.07","5611",5.37450075149536
"X2021.11.08","5611",11.7311182022095
"X2021.11.09","5611",21.9122295379639
"X2021.11.10","5611",28.4024639129639
"X2021.11.11","5611",48.9347305297852
"X2021.11.12","5611",40.9446601867676
"X2021.11.13","5611",17.004301071167
"X2021.11.14","5611",31.2846946716309
"X2021.11.15","5611",43.1838684082031
"X2021.11.16","5611",52.2216262817383
"X2021.11.17","5611",26.4763298034668
"X2021.11.18","5611",15.3949432373047
"X2021.11.19","5611",16.4222755432129
"X2021.11.20","5611",19.6629829406738
"X2021.11.21","5611",14.7457733154297
"X2021.11.22","5611",6.85181713104248
"X2021.11.23","5611",21.8096466064453
"X2021.11.24","5611",34.3839302062988
"X2021.11.25","5611",26.4639759063721
"X2021.11.26","5611",10.5081825256348
"X2021.11.27","5611",18.3469181060791
"X2021.11.28","5611",15.4069013595581
"X2021.11.29","5611",11.4695730209351
"X2021.11.30","5611",8.28982257843018
"X2021.12.01","5611",5.0984582901001
"X2021.12.02","5611",8.32820987701416
"X2021.12.03","5611",13.9510736465454
"X2021.12.04","5611",7.89731359481812
"X2021.12.05","5611",11.1957216262817
"X2021.12.06","5611",22.0515232086182
"X2021.12.07","5611",11.1384630203247
"X2021.12.08","5611",7.39757108688354
"X2021.12.09","5611",15.4855995178223
"X2021.12.10","5611",12.6379814147949
"X2021.12.11","5611",15.8977994918823
"X2021.12.12","5611",15.6578569412231
"X2021.12.13","5611",17.7715225219727
"X2021.12.14","5611",21.7988586425781
"X2021.12.15","5611",25.2666187286377
"X2021.12.16","5611",22.4965209960938
"X2021.12.17","5611",26.4867267608643
"X2021.12.18","5611",19.3421401977539
"X2021.12.19","5611",18.4790382385254
"X2021.12.20","5611",9.64055442810059
"X2021.12.21","5611",39.7545852661133
"X2021.12.22","5611",20.9056968688965
"X2021.12.23","5611",29.2204627990723
"X2021.12.24","5611",24.4826908111572
"X2021.12.25","5611",10.8435163497925
"X2021.12.26","5611",26.6472835540771
"X2021.12.27","5611",14.7289352416992
"X2021.12.28","5611",6.08897733688354
"X2021.12.29","5611",10.2501516342163
"X2021.12.30","5611",6.58434152603149
"X2021.12.31","5611",8.1336498260498
"X2021.01.01","5612",27.2826824188232
"X2021.01.02","5612",36.2584266662598
"X2021.01.03","5612",25.4802665710449
"X2021.01.04","5612",9.57113170623779
"X2021.01.05","5612",15.7785158157349
"X2021.01.06","5612",24.3513507843018
"X2021.01.07","5612",18.5072441101074
"X2021.01.08","5612",12.1503496170044
"X2021.01.09","5612",33.7258605957031
"X2021.01.10","5612",42.889778137207
"X2021.01.11","5612",22.9363460540771
"X2021.01.12","5612",5.65185642242432
"X2021.01.13","5612",16.3793563842773
"X2021.01.14","5612",13.4872674942017
"X2021.01.15","5612",21.3961353302002
"X2021.01.16","5612",35.519645690918
"X2021.01.17","5612",16.951696395874
"X2021.01.18","5612",16.7639408111572
"X2021.01.19","5612",8.6334867477417
"X2021.01.20","5612",5.4899525642395
"X2021.01.21","5612",3.43775296211243
"X2021.01.22","5612",12.8726043701172
"X2021.01.23","5612",17.0342903137207
"X2021.01.24","5612",13.6094703674316
"X2021.01.25","5612",25.5643043518066
"X2021.01.26","5612",15.8971538543701
"X2021.01.27","5612",26.859094619751
"X2021.01.28","5612",18.8684616088867
"X2021.01.29","5612",6.32308673858643
"X2021.01.30","5612",13.2987747192383
"X2021.01.31","5612",21.6032562255859
"X2021.02.01","5612",40.815845489502
"X2021.02.02","5612",31.4053153991699
"X2021.02.03","5612",7.68458795547485
"X2021.02.04","5612",10.365309715271
"X2021.02.05","5612",19.4018669128418
"X2021.02.06","5612",30.960521697998
"X2021.02.07","5612",10.2977228164673
"X2021.02.08","5612",9.77915859222412
"X2021.02.09","5612",16.0043125152588
"X2021.02.10","5612",27.0703315734863
"X2021.02.11","5612",26.5750350952148
"X2021.02.12","5612",26.3219184875488
"X2021.02.13","5612",16.9830360412598
"X2021.02.14","5612",10.4696683883667
"X2021.02.15","5612",24.2643394470215
"X2021.02.16","5612",15.6329650878906
"X2021.02.17","5612",10.1025524139404
"X2021.02.18","5612",8.1787281036377
"X2021.02.19","5612",9.42312049865723
"X2021.02.20","5612",8.50497722625732
"X2021.02.21","5612",6.14843606948853
"X2021.02.22","5612",11.2731437683105
"X2021.02.23","5612",6.78993082046509
"X2021.02.24","5612",6.83578109741211
"X2021.02.25","5612",14.2652940750122
"X2021.02.26","5612",10.8081340789795
"X2021.02.27","5612",19.5951900482178
"X2021.02.28","5612",15.4699897766113
"X2021.03.01","5612",39.0846252441406
"X2021.03.02","5612",31.8390102386475
"X2021.03.03","5612",57.2266578674316
"X2021.03.04","5612",25.9321193695068
"X2021.03.05","5612",8.15626049041748
"X2021.03.06","5612",9.53232860565186
"X2021.03.07","5612",13.8605403900146
"X2021.03.08","5612",27.3675270080566
"X2021.03.09","5612",25.5814247131348
"X2021.03.10","5612",31.927734375
"X2021.03.11","5612",6.46462535858154
"X2021.03.12","5612",6.25599956512451
"X2021.03.13","5612",5.16130256652832
"X2021.03.14","5612",9.77202224731445
"X2021.03.15","5612",6.97081661224365
"X2021.03.16","5612",7.70720386505127
"X2021.03.17","5612",9.23677444458008
"X2021.03.18","5612",13.5684299468994
"X2021.03.19","5612",8.21689701080322
"X2021.03.20","5612",11.2398147583008
"X2021.03.21","5612",9.32310390472412
"X2021.03.22","5612",8.52312755584717
"X2021.03.23","5612",26.6132392883301
"X2021.03.24","5612",27.3801956176758
"X2021.03.25","5612",22.5099811553955
"X2021.03.26","5612",15.643045425415
"X2021.03.27","5612",6.53387403488159
"X2021.03.28","5612",7.99888229370117
"X2021.03.29","5612",10.371470451355
"X2021.03.30","5612",14.5384531021118
"X2021.03.31","5612",20.4596328735352
"X2021.04.01","5612",26.0754642486572
"X2021.04.02","5612",5.5032753944397
"X2021.04.03","5612",3.86559963226318
"X2021.04.04","5612",7.99414348602295
"X2021.04.05","5612",8.65253448486328
"X2021.04.06","5612",4.44695234298706
"X2021.04.07","5612",5.81381940841675
"X2021.04.08","5612",15.8648624420166
"X2021.04.09","5612",16.3861236572266
"X2021.04.10","5612",19.3148784637451
"X2021.04.11","5612",3.82954430580139
"X2021.04.12","5612",8.99604892730713
"X2021.04.13","5612",10.3502492904663
"X2021.04.14","5612",13.7589378356934
"X2021.04.15","5612",8.19922828674316
"X2021.04.16","5612",8.12391567230225
"X2021.04.17","5612",8.11397266387939
"X2021.04.18","5612",13.5136985778809
"X2021.04.19","5612",22.7649383544922
"X2021.04.20","5612",40.0472297668457
"X2021.04.21","5612",15.3328714370728
"X2021.04.22","5612",3.45556592941284
"X2021.04.23","5612",5.0120210647583
"X2021.04.24","5612",3.54656028747559
"X2021.04.25","5612",2.82546401023865
"X2021.04.26","5612",7.45445775985718
"X2021.04.27","5612",11.0347871780396
"X2021.04.28","5612",17.5799617767334
"X2021.04.29","5612",14.0795917510986
"X2021.04.30","5612",15.7415609359741
"X2021.05.01","5612",12.9195699691772
"X2021.05.02","5612",8.82386779785156
"X2021.05.03","5612",14.5574283599854
"X2021.05.04","5612",3.90455722808838
"X2021.05.05","5612",6.71278238296509
"X2021.05.06","5612",10.6435489654541
"X2021.05.07","5612",10.8572340011597
"X2021.05.08","5612",10.1591129302979
"X2021.05.09","5612",2.68729424476624
"X2021.05.10","5612",2.80958986282349
"X2021.05.11","5612",8.61159610748291
"X2021.05.12","5612",13.1686868667603
"X2021.05.13","5612",15.2390947341919
"X2021.05.14","5612",17.3841438293457
"X2021.05.15","5612",15.175986289978
"X2021.05.16","5612",5.25218915939331
"X2021.05.17","5612",6.28163957595825
"X2021.05.18","5612",10.2806930541992
"X2021.05.19","5612",9.49398136138916
"X2021.05.20","5612",17.0880661010742
"X2021.05.21","5612",4.47400569915771
"X2021.05.22","5612",5.6802191734314
"X2021.05.23","5612",6.73751592636108
"X2021.05.24","5612",3.5663423538208
"X2021.05.25","5612",7.21228694915771
"X2021.05.26","5612",6.48637390136719
"X2021.05.27","5612",6.98673057556152
"X2021.05.28","5612",7.3647928237915
"X2021.05.29","5612",9.48682689666748
"X2021.05.30","5612",7.13913488388062
"X2021.05.31","5612",10.3272171020508
"X2021.06.01","5612",6.93976163864136
"X2021.06.02","5612",9.77920246124268
"X2021.06.03","5612",7.33598852157593
"X2021.06.04","5612",17.0877475738525
"X2021.06.05","5612",12.4563093185425
"X2021.06.06","5612",6.32273197174072
"X2021.06.07","5612",5.26108741760254
"X2021.06.08","5612",4.73536968231201
"X2021.06.09","5612",9.71700954437256
"X2021.06.10","5612",7.05670547485352
"X2021.06.11","5612",4.37736892700195
"X2021.06.12","5612",2.80416131019592
"X2021.06.13","5612",2.66450214385986
"X2021.06.14","5612",5.98115301132202
"X2021.06.15","5612",5.20394611358643
"X2021.06.16","5612",5.01643800735474
"X2021.06.17","5612",5.72651147842407
"X2021.06.18","5612",7.84596586227417
"X2021.06.19","5612",3.10034775733948
"X2021.06.20","5612",3.58671617507935
"X2021.06.21","5612",2.09749889373779
"X2021.06.22","5612",2.25887274742126
"X2021.06.23","5612",4.68724393844604
"X2021.06.24","5612",7.05955123901367
"X2021.06.25","5612",9.0906400680542
"X2021.06.26","5612",7.74853277206421
"X2021.06.27","5612",8.01708316802979
"X2021.06.28","5612",16.5941791534424
"X2021.06.29","5612",12.8558778762817
"X2021.06.30","5612",3.70778298377991
"X2021.07.01","5612",4.44718885421753
"X2021.07.02","5612",8.86920642852783
"X2021.07.03","5612",11.384033203125
"X2021.07.04","5612",10.8553657531738
"X2021.07.05","5612",3.41354370117188
"X2021.07.06","5612",2.53716015815735
"X2021.07.07","5612",2.76118445396423
"X2021.07.08","5612",7.7710075378418
"X2021.07.09","5612",8.17214107513428
"X2021.07.10","5612",11.9554214477539
"X2021.07.11","5612",9.8097095489502
"X2021.07.12","5612",7.16447973251343
"X2021.07.13","5612",15.2222309112549
"X2021.07.14","5612",7.19472455978394
"X2021.07.15","5612",3.20454525947571
"X2021.07.16","5612",3.07968425750732
"X2021.07.17","5612",2.70412635803223
"X2021.07.18","5612",4.50106191635132
"X2021.07.19","5612",2.46557354927063
"X2021.07.20","5612",2.3267560005188
"X2021.07.21","5612",6.84044647216797
"X2021.07.22","5612",5.53644037246704
"X2021.07.23","5612",2.62580633163452
"X2021.07.24","5612",6.968918800354
"X2021.07.25","5612",6.87424945831299
"X2021.07.26","5612",4.46038818359375
"X2021.07.27","5612",7.06597757339478
"X2021.07.28","5612",4.38810157775879
"X2021.07.29","5612",3.33609890937805
"X2021.07.30","5612",2.95923066139221
"X2021.07.31","5612",3.63450384140015
"X2021.08.01","5612",7.53527688980103
"X2021.08.02","5612",4.44187784194946
"X2021.08.03","5612",11.1512422561646
"X2021.08.04","5612",23.938289642334
"X2021.08.05","5612",14.5346240997314
"X2021.08.06","5612",3.09798526763916
"X2021.08.07","5612",3.18462181091309
"X2021.08.08","5612",3.34999012947083
"X2021.08.09","5612",2.99887013435364
"X2021.08.10","5612",3.48895168304443
"X2021.08.11","5612",9.65126514434814
"X2021.08.12","5612",7.22466516494751
"X2021.08.13","5612",4.67082929611206
"X2021.08.14","5612",4.21009397506714
"X2021.08.15","5612",4.43087005615234
"X2021.08.16","5612",3.71745777130127
"X2021.08.17","5612",7.81336355209351
"X2021.08.18","5612",7.02284145355225
"X2021.08.19","5612",8.48541641235352
"X2021.08.20","5612",6.48716449737549
"X2021.08.21","5612",6.58003520965576
"X2021.08.22","5612",8.61534976959229
"X2021.08.23","5612",7.67645359039307
"X2021.08.24","5612",3.27219200134277
"X2021.08.25","5612",3.91108155250549
"X2021.08.26","5612",3.02549171447754
"X2021.08.27","5612",2.78206944465637
"X2021.08.28","5612",3.83368325233459
"X2021.08.29","5612",4.59393501281738
"X2021.08.30","5612",7.59715127944946
"X2021.08.31","5612",5.99420595169067
"X2021.09.01","5612",4.24555110931396
"X2021.09.02","5612",8.37759971618652
"X2021.09.03","5612",15.6779890060425
"X2021.09.04","5612",11.3472156524658
"X2021.09.05","5612",13.9068899154663
"X2021.09.06","5612",16.5143165588379
"X2021.09.07","5612",21.5135669708252
"X2021.09.08","5612",17.5839881896973
"X2021.09.09","5612",13.9779024124146
"X2021.09.10","5612",6.57023429870605
"X2021.09.11","5612",11.0192852020264
"X2021.09.12","5612",8.42947292327881
"X2021.09.13","5612",10.8671627044678
"X2021.09.14","5612",10.8539600372314
"X2021.09.15","5612",7.8097825050354
"X2021.09.16","5612",8.89240837097168
"X2021.09.17","5612",21.5664558410645
"X2021.09.18","5612",24.015552520752
"X2021.09.19","5612",11.4189414978027
"X2021.09.20","5612",11.4774856567383
"X2021.09.21","5612",10.0685520172119
"X2021.09.22","5612",17.3402004241943
"X2021.09.23","5612",18.3761215209961
"X2021.09.24","5612",9.98142051696777
"X2021.09.25","5612",8.59055423736572
